date,nacara,psanchezcerro,puchaca
24-Nov-08,,1.04,2.214
25-Nov-08,,1.46,1.905
26-Nov-08,,3.75,2.003
27-Nov-08,,6.42,2.706
28-Nov-08,,5.67,2.328
29-Nov-08,,6,2.003
30-Nov-08,,8.88,
1-Dec-08,,11.22,
2-Dec-08,,1.814,
3-Dec-08,,1.04,
4-Dec-08,,0,
5-Dec-08,,1.25,
6-Dec-08,,1.25,
7-Dec-08,,0.46,
8-Dec-08,,0,
9-Dec-08,,0,
10-Dec-08,,1,
11-Dec-08,,0.88,
12-Dec-08,,1.46,
13-Dec-08,,1.67,
14-Dec-08,,0.42,
15-Dec-08,,0.83,
16-Dec-08,,0,
17-Dec-08,,0,
18-Dec-08,,2.7083,
19-Dec-08,,0,
20-Dec-08,,0,
21-Dec-08,,0,
22-Dec-08,,0,
23-Dec-08,,0,
24-Dec-08,,0.63,
25-Dec-08,,0.63,
26-Dec-08,,0.83,
27-Dec-08,,0,
28-Dec-08,,0.42,
29-Dec-08,,5.21,
30-Dec-08,,0,
31-Dec-08,,0.63,
1-Jan-09,,1.67,1.289
2-Jan-09,,0.42,0.871
3-Jan-09,,0,0.658
4-Jan-09,,0.42,0.569
5-Jan-09,,1.46,0.569
6-Jan-09,,0.83,1.852
7-Jan-09,,0.21,8.991
8-Jan-09,,0.42,7.572
9-Jan-09,,2.23,6.933
10-Jan-09,,24.58,18.216
11-Jan-09,,38.33,93.091
12-Jan-09,,36.92,65.424
13-Jan-09,,39.33,35.99
14-Jan-09,,41.25,26.802
15-Jan-09,,43,20.301
16-Jan-09,,43.54,15.122
17-Jan-09,,63.76,14.557
18-Jan-09,,332.43,15.122
19-Jan-09,,293.13,11.508
20-Jan-09,,160.4,11.508
21-Jan-09,,129.69,8.618
22-Jan-09,,111.14,8.618
23-Jan-09,,107.25,10.614
24-Jan-09,,105.42,9.776
25-Jan-09,,117.27,8.257
26-Jan-09,,115.49,7.247
27-Jan-09,,100.46,6.63
28-Jan-09,,,7.247
29-Jan-09,,,6.63
30-Jan-09,,,11.054
31-Jan-09,,92.636,35.99
1-Feb-09,,139.83,16.352
2-Feb-09,,171.38,9.815
3-Feb-09,,131.71,13.447
4-Feb-09,,112.71,15.262
5-Feb-09,,110.38,7.636
6-Feb-09,,113.13,11.994
7-Feb-09,,108.5,13.083
8-Feb-09,,102.71,8.362
9-Feb-09,,95.5,5.094
10-Feb-09,,89.75,10.178
11-Feb-09,,98.75,5.82
12-Feb-09,,111.04,4.731
13-Feb-09,,95.25,9.452
14-Feb-09,,146.54,10.541
15-Feb-09,,322.92,20.347
16-Feb-09,,442.63,7.999
17-Feb-09,,395,6.547
18-Feb-09,,293.13,6.547
19-Feb-09,,480,4.368
20-Feb-09,,342,7.636
21-Feb-09,,225.12,4.731
22-Feb-09,,271,20.347
23-Feb-09,,323,12.357
24-Feb-09,,257,9.089
25-Feb-09,,221,10.905
26-Feb-09,,110.5,10.178
27-Feb-09,,55.25,7.999
28-Feb-09,,,4.368
1-Mar-09,,,13.4
2-Mar-09,,,11.93
3-Mar-09,,,13.4
4-Mar-09,,,18.552
5-Mar-09,,,16.137
6-Mar-09,,,23.313
7-Mar-09,,,17.063
8-Mar-09,,,13.313
9-Mar-09,,,11.656
10-Mar-09,,,10.871
11-Mar-09,,,10.139
12-Mar-09,,,21.327
13-Mar-09,,,35.559
14-Mar-09,,,25.094
15-Mar-09,,,26.906
16-Mar-09,,,18.988
17-Mar-09,,,17.709
18-Mar-09,,,33.944
19-Mar-09,,,22.342
20-Mar-09,,,25.684
21-Mar-09,,,25.684
22-Mar-09,,328.7,25.094
23-Mar-09,,340.3,68.158
24-Mar-09,,287.15,74.797
25-Mar-09,,242.785,30.931
26-Mar-09,,210.2475,49.23
27-Mar-09,,178.0838,96.581
28-Mar-09,,165.0419,36.395
29-Mar-09,,149.7309,28.849
30-Mar-09,,234,27.539
31-Mar-09,,198.42,21.327
1-Apr-09,,177.71,18.386
2-Apr-09,,145.92,16.83
3-Apr-09,,152,14.714
4-Apr-09,,134.42,17.155
5-Apr-09,,132.46,14.326
6-Apr-09,,119.13,15.09
7-Apr-09,,112.29,14.326
8-Apr-09,,125.46,17.155
9-Apr-09,,132.33,16.499
10-Apr-09,,121,14.714
11-Apr-09,,117.63,12.175
12-Apr-09,,111.63,11.69
13-Apr-09,,112.5,12.175
14-Apr-09,,107.67,14.714
15-Apr-09,,102.79,13.512
16-Apr-09,,99.67,13.084
17-Apr-09,,99.21,12.175
18-Apr-09,,94.5,12.175
19-Apr-09,,86.58,10.643
20-Apr-09,,80.67,9.464
21-Apr-09,,81.5,10.643
22-Apr-09,,82.33,20.341
23-Apr-09,,94.5,18.087
24-Apr-09,,105.25,15.09
25-Apr-09,,97,10.643
26-Apr-09,,100,10.074
27-Apr-09,,96.83,11.181
28-Apr-09,,87.25,14.326
29-Apr-09,,87.625,10.074
30-Apr-09,,88,8.807
1-May-09,,74.5,16.09
2-May-09,,72.58,14.79
3-May-09,,84.92,13.566
4-May-09,,90.83,12.047
5-May-09,,93.38,10.652
6-May-09,,90.5,9.999
7-May-09,,81.5,11.334
